id;name;size;monster_type;alignment;ac;hp;strength;str_mod;dex;dex_mod;con;con_mod;intel;int_mod;wis;wis_mod;cha;cha_mod;senses;languages;cr;str_save;dex_save;con_save;int_save;wis_save;cha_save;speed;swim;fly;climb;burrow;number_legendary_actions;history;perception;stealth;persuasion;insight;deception;arcana;religion;acrobatics;athletics;intimidation;image_source;image_name
182;Lamia;Large;Monstrosity;chaotic evil;13;97;16;3;13;1;15;2;14;2;15;2;16;3;Darkvision 60 Ft., passive Perception 12;Abyssal, Common;4;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/lamia.jpg;lamia.jpg
183;Lemure;Medium;Fiend (devil);lawful evil;7;13;10;0;5;-3;11;0;1;-5;11;0;3;-4;Darkvision 120 Ft., passive Perception 10;Understands Infernal But Can't Speak;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/lemure.jpg;lemure.jpg
184;Lich;Medium;Undead;any evil alignment;17;135;11;0;16;3;16;3;20;5;14;2;16;3;Truesight 120 Ft., passive Perception 19;Common Plus Up To Five Other Languages;21;0;0;10;12;9;0;30;0;0;0;0;4;12;9;0;0;9;0;18;0;0;0;0;https://www.aidedd.org/dnd/images/lich.jpg;lich.jpg
185;Lion;Large;Beast;unaligned;12;26;17;3;15;2;13;1;3;-4;12;1;8;-1;passive Perception 13;;1;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
186;Lizard;Tiny;Beast;unaligned;10;2;2;-4;11;0;10;0;1;-5;8;-1;3;-4;;;0;0;0;0;0;0;0;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;;
187;Lizardfolk;Medium;Humanoid (lizardfolk);neutral;15;22;15;2;10;0;13;1;7;-2;12;1;7;-2;passive Perception 13;Draconic;1/2;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/lizardfolk.jpg;lizardfolk.jpg
188;Mage;Medium;Humanoid (any race);any alignment;12;40;9;-1;14;2;11;0;17;3;12;1;11;0;passive Perception 11;Any Four Languages;6;0;0;0;6;4;0;30;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;;
189;Magma Mephit;Small;Elemental;neutral evil;11;22;8;-1;12;1;12;1;7;-2;10;0;10;0;Darkvision 60 Ft., passive Perception 10;Ignan, Terran;1/2;0;0;0;0;0;0;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/magma-mephit.jpg;magma-mephit.jpg
190;Magmin;Small;Elemental;chaotic neutral;14;9;7;-2;15;2;12;1;8;-1;11;0;10;0;Darkvision 60 Ft., passive Perception 10;Ignan;1/2;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/magmin.jpg;magmin.jpg
191;Mammoth;Huge;Beast;unaligned;13;126;24;7;9;-1;21;5;3;-4;11;0;6;-2;;;6;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
192;Manticore;Large;Monstrosity;lawful evil;14;68;17;3;16;3;17;3;7;-2;12;1;8;-1;;Common;3;0;0;0;0;0;0;30;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/manticore.jpg;manticore.jpg
193;Marilith;Large;Fiend (demon);chaotic evil;18;189;18;4;20;5;20;5;18;4;16;3;20;5;Truesight 120 Ft., passive Perception 13;Abyssal, Telepathy 120 Ft.;16;9;0;10;0;8;10;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/demon-marilith.jpg;demon-marilith.jpg
194;Mastiff;Medium;Beast;unaligned;12;5;13;1;14;2;12;1;3;-4;12;1;7;-2;passive Perception 13;;1/8;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/mastiff.jpg;mastiff.jpg
195;Medusa;Medium;Monstrosity;lawful evil;15;127;10;0;15;2;16;3;12;1;13;1;15;2;Darkvision 60 Ft., passive Perception 14;Common;6;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/medusa.jpg;medusa.jpg
196;Merfolk;Medium;Humanoid (merfolk);neutral;11;11;10;0;13;1;12;1;11;0;11;0;12;1;passive Perception 12;Aquan, Common;1/8;0;0;0;0;0;0;10;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/merfolk.jpg;merfolk.jpg
197;Merrow;Large;Monstrosity;chaotic evil;13;45;18;4;10;0;15;2;8;-1;10;0;9;-1;;Abyssal, Aquan;2;0;0;0;0;0;0;10;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/merrow.jpg;merrow.jpg
198;Mimic;Medium;Monstrosity (shapechanger);neutral;12;58;17;3;12;1;15;2;5;-3;13;1;8;-1;Darkvision 60 Ft., passive Perception 11;;2;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/mimic.jpg;mimic.jpg
199;Minotaur;Large;Monstrosity;chaotic evil;14;76;18;4;11;0;16;3;6;-2;16;3;9;-1;Darkvision 60 Ft., passive Perception 17;Abyssal;3;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/minotaur.jpg;minotaur.jpg
200;Minotaur Skeleton;Large;Undead;lawful evil;12;67;18;4;11;0;15;2;6;-2;8;-1;5;-3;Darkvision 60 Ft., passive Perception 9;Understands Abyssal But Can't Speak;2;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/minotaur-skeleton.jpg;minotaur-skeleton.jpg
201;Mule;Medium;Beast;unaligned;10;11;14;2;10;0;13;1;2;-4;10;0;5;-3;;;1/8;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
202;Mummy;Medium;Undead;lawful evil;11;58;16;3;8;-1;15;2;6;-2;10;0;12;1;Darkvision 60 Ft., passive Perception 10;The Languages It Knew In Life;3;0;0;0;0;2;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/mummy.jpg;mummy.jpg
203;Mummy Lord;Medium;Undead;lawful evil;17;97;18;4;10;0;17;3;11;0;18;4;16;3;Darkvision 60 Ft., passive Perception 14;The Languages It Knew In Life;15;0;0;8;5;9;8;20;0;0;0;0;5;5;0;0;0;0;0;0;5;0;0;0;https://www.aidedd.org/dnd/images/mummy-lord.jpg;mummy-lord.jpg
204;Nalfeshnee;Large;Fiend (demon);chaotic evil;18;184;21;5;10;0;22;6;19;4;12;1;15;2;Truesight 120 Ft., passive Perception 11;Abyssal, Telepathy 120 Ft.;13;0;0;11;9;6;7;20;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/demon-nalfeshnee.jpg;demon-nalfeshnee.jpg
205;Night Hag;Medium;Fiend;neutral evil;17;112;18;4;15;2;16;3;16;3;14;2;16;3;Darkvision 120 Ft., passive Perception 16;Abyssal, Common, Infernal, Primordial;5;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/night-hag.jpg;night-hag.jpg
206;Nightmare;Large;Fiend;neutral evil;13;68;18;4;15;2;16;3;10;0;13;1;15;2;passive Perception 11;Understands Abyssal, Common, And Infernal But Can't Speak;3;0;0;0;0;0;0;60;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/nightmare.jpg;nightmare.jpg
207;Noble;Medium;Humanoid (any race);any alignment;15;9;11;0;12;1;11;0;12;1;14;2;16;3;passive Perception 12;Any Two Languages;1/8;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/noble.jpg;noble.jpg
208;Ochre Jelly;Large;Ooze;unaligned;8;45;15;2;6;-2;14;2;2;-4;6;-2;1;-5;Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 8;;2;0;0;0;0;0;0;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/ochre-jelly.jpg;ochre-jelly.jpg
209;Octopus;Small;Beast;unaligned;12;3;4;-3;15;2;11;0;3;-4;10;0;4;-3;Darkvision 30 Ft., passive Perception 12;;0;0;0;0;0;0;0;5;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
210;Ogre;Large;Giant;chaotic evil;11;59;19;4;8;-1;16;3;5;-3;7;-2;7;-2;;Common, Giant;2;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/ogre.jpg;ogre.jpg
211;Ogre Zombie;Large;Undead;neutral evil;8;85;19;4;6;-2;18;4;3;-4;6;-2;5;-3;Darkvision 60 Ft., passive Perception 8;Understands Common And Giant But Can't Speak;2;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/ogre-zombie.jpg;ogre-zombie.jpg
212;Oni;Large;Giant;lawful evil;16;110;19;4;11;0;16;3;14;2;12;1;15;2;Darkvision 60 Ft., passive Perception 14;Common, Giant;7;0;3;6;0;4;5;30;0;30;0;0;0;0;4;0;0;0;8;5;0;0;0;0;https://www.aidedd.org/dnd/images/oni.jpg;oni.jpg
213;Orc;Medium;Humanoid (orc);chaotic evil;13;15;16;3;12;1;16;3;7;-2;11;0;10;0;Darkvision 60 Ft., passive Perception 10;Common, Orc;1/2;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/orc.jpg;orc.jpg
214;Otyugh;Large;Aberration;neutral;14;114;16;3;11;0;19;4;6;-2;13;1;6;-2;Darkvision 120 Ft., passive Perception 11;Otyugh;5;0;0;7;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/otyugh.jpg;otyugh.jpg
215;Owl;Tiny;Beast;unaligned;11;1;3;-4;13;1;8;-1;2;-4;12;1;7;-2;Darkvision 120 Ft., passive Perception 13;;0;0;0;0;0;0;0;5;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/owl.jpg;owl.jpg
216;Owlbear;Large;Monstrosity;unaligned;13;59;20;5;12;1;17;3;3;-4;12;1;7;-2;Darkvision 60 Ft., passive Perception 13;;3;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/owlbear.jpg;owlbear.jpg
217;Panther;Medium;Beast;unaligned;12;13;14;2;15;2;10;0;3;-4;14;2;7;-2;passive Perception 14;;1/4;0;0;0;0;0;0;50;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;;
218;Pegasus;Large;Celestial;chaotic good;12;59;18;4;15;2;16;3;10;0;15;2;13;1;passive Perception 16;Understands Celestial, Common, Elvish, And Sylvan But Can't Speak;2;0;4;0;0;4;3;60;0;90;0;0;0;0;6;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/pegasus.jpg;pegasus.jpg
219;Phase Spider;Large;Monstrosity;unaligned;13;32;15;2;15;2;12;1;6;-2;10;0;6;-2;Darkvision 60 Ft., passive Perception 10;;3;0;0;0;0;0;0;30;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/phase-spider.jpg;phase-spider.jpg
220;Pit Fiend;Large;Fiend (devil);lawful evil;19;300;26;8;14;2;24;7;22;6;18;4;24;7;Truesight 120 Ft., passive Perception 14;Infernal, Telepathy 120 Ft.;20;0;8;13;0;10;0;30;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/pit-fiend.jpg;pit-fiend.jpg
221;Planetar;Large;Celestial;lawful good;19;200;24;7;20;5;24;7;19;4;22;6;25;7;Truesight 120 Ft., passive Perception 21;All, Telepathy 120 Ft.;16;0;0;12;0;11;12;40;0;120;0;0;0;0;11;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/planetar.jpg;planetar.jpg
222;Plesiosaurus;Large;Beast;unaligned;13;68;18;4;15;2;16;3;2;-4;12;1;5;-3;passive Perception 13;;2;0;0;0;0;0;0;20;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/plesiosaurus.jpg;plesiosaurus.jpg
223;Poisonous Snake;Tiny;Beast;unaligned;13;2;2;-4;16;3;11;0;1;-5;10;0;3;-4;;;1/8;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
224;Polar Bear;Large;Beast;unaligned;12;42;20;5;10;0;16;3;2;-4;13;1;7;-2;passive Perception 13;;2;0;0;0;0;0;0;40;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
225;Pony;Medium;Beast;unaligned;10;11;15;2;10;0;13;1;2;-4;11;0;7;-2;;;1/8;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
226;Priest;Medium;Humanoid (any race);any alignment;13;27;10;0;10;0;12;1;13;1;16;3;13;1;passive Perception 13;Any Two Languages;2;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
227;Pseudodragon;Tiny;Dragon;neutral good;13;7;6;-2;15;2;13;1;10;0;12;1;10;0;Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 13;Understands Common And Draconic But Can't Speak;1/4;0;0;0;0;0;0;15;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/pseudodragon.jpg;pseudodragon.jpg
228;Purple Worm;Gargantuan;Monstrosity;unaligned;18;247;28;9;7;-2;22;6;1;-5;8;-1;4;-3;Blindsight 30 Ft., Tremorsense 60 Ft., passive Perception 9;;15;0;0;11;0;4;0;50;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/purple-worm.jpg;purple-worm.jpg
229;Quasit;Tiny;Fiend (demon);chaotic evil;13;7;5;-3;17;3;10;0;7;-2;10;0;10;0;Darkvision 120 Ft., passive Perception 10;Abyssal, Common;1;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/quasit.jpg;quasit.jpg
230;Quipper;Tiny;Beast;unaligned;13;1;2;-4;16;3;9;-1;1;-5;7;-2;2;-4;;;0;0;0;0;0;0;0;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/quipper.jpg;quipper.jpg
231;Rakshasa;Medium;Fiend;lawful evil;16;110;14;2;17;3;18;4;13;1;16;3;20;5;Darkvision 60 Ft., passive Perception 13;Common, Infernal;13;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/rakshasa.jpg;rakshasa.jpg
232;Rat;Tiny;Beast;unaligned;10;1;2;-4;11;0;9;-1;2;-4;10;0;4;-3;;;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/rat.jpg;rat.jpg
233;Raven;Tiny;Beast;unaligned;12;1;2;-4;14;2;8;-1;2;-4;12;1;6;-2;passive Perception 13;;0;0;0;0;0;0;0;10;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/raven.jpg;raven.jpg
234;Red Dragon Wyrmling;Medium;Dragon;chaotic evil;17;75;19;4;10;0;17;3;12;1;11;0;15;2;Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14;Draconic;4;0;2;5;0;2;4;30;0;60;30;0;0;0;4;2;0;0;0;0;0;0;0;0;;
235;Reef Shark;Medium;Beast;unaligned;12;22;14;2;13;1;13;1;1;-5;10;0;4;-3;Blindsight 30 Ft., passive Perception 12;;1/2;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
236;Remorhaz;Huge;Monstrosity;unaligned;17;195;24;7;13;1;21;5;4;-3;10;0;5;-3;Darkvision 60 Ft., Tremorsense 60 Ft., passive Perception 10;;11;0;0;0;0;0;0;30;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/remorhaz.jpg;remorhaz.jpg
237;Rhinoceros;Large;Beast;unaligned;11;45;21;5;8;-1;15;2;2;-4;12;1;6;-2;;;2;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
238;Riding Horse;Large;Beast;unaligned;10;13;16;3;10;0;12;1;2;-4;11;0;7;-2;;;1/4;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/horse.jpg;horse.jpg
239;Roc;Gargantuan;Monstrosity;unaligned;15;248;28;9;10;0;20;5;3;-4;10;0;9;-1;passive Perception 14;;11;0;4;9;0;4;3;20;0;120;0;0;0;0;4;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/roc.jpg;roc.jpg
240;Roper;Large;Monstrosity;neutral evil;20;93;18;4;8;-1;17;3;7;-2;16;3;6;-2;Darkvision 60 Ft., passive Perception 16;;5;0;0;0;0;0;0;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/roper.jpg;roper.jpg
241;Rug Of Smothering;Large;Construct;unaligned;12;33;17;3;14;2;10;0;1;-5;3;-4;1;-5;Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 6;;2;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/rug-smothering.jpg;rug-smothering.jpg
242;Rust Monster;Medium;Monstrosity;unaligned;14;27;13;1;12;1;13;1;2;-4;13;1;6;-2;;;1/2;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/rust-monster.jpg;rust-monster.jpg
243;Saber-Toothed Tiger;Large;Beast;unaligned;12;52;18;4;14;2;15;2;3;-4;12;1;8;-1;passive Perception 13;;2;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
244;Sahuagin;Medium;Humanoid (sahuagin);lawful evil;12;22;13;1;11;0;12;1;12;1;13;1;9;-1;Darkvision 120 Ft., passive Perception 15;Sahuagin;1/2;0;0;0;0;0;0;30;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/sahuagin.jpg;sahuagin.jpg
245;Salamander;Large;Elemental;neutral evil;15;90;18;4;14;2;15;2;11;0;10;0;12;1;Darkvision 60 Ft., passive Perception 10;Ignan;5;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/salamander.jpg;salamander.jpg
246;Satyr;Medium;Fey;chaotic neutral;14;31;12;1;16;3;11;0;12;1;10;0;14;2;passive Perception 12;Common, Elvish, Sylvan;1/2;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/satyr.jpg;satyr.jpg
247;Scorpion;Tiny;Beast;unaligned;11;1;2;-4;11;0;8;-1;1;-5;8;-1;2;-4;;;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
248;Scout;Medium;Humanoid (any race);any alignment;13;16;11;0;14;2;12;1;11;0;13;1;11;0;passive Perception 15;Any One Language (Usually Common);1/2;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/scout.jpg;scout.jpg
249;Sea Hag;Medium;Fey;chaotic evil;14;52;16;3;13;1;16;3;12;1;12;1;13;1;;Aquan, Common, Giant;2;0;0;0;0;0;0;30;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/sea-hag.jpg;sea-hag.jpg
250;Sea Horse;Tiny;Beast;unaligned;11;1;1;-5;12;1;8;-1;1;-5;10;0;2;-4;;;0;0;0;0;0;0;0;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
251;Shadow;Medium;Undead;chaotic evil;12;16;6;-2;14;2;13;1;6;-2;10;0;8;-1;Darkvision 60 Ft., passive Perception 10;;1/2;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/shadow.jpg;shadow.jpg
252;Shambling Mound;Large;Plant;unaligned;15;136;18;4;8;-1;16;3;5;-3;10;0;5;-3;Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 10;;5;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/shambling-mound.jpg;shambling-mound.jpg
253;Shield Guardian;Large;Construct;unaligned;17;142;18;4;8;-1;18;4;7;-2;10;0;3;-4;Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 10;Understands Commands Given In Any Language But Can't Speak;7;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/shield-guardian.jpg;shield-guardian.jpg
254;Shrieker;Medium;Plant;unaligned;5;13;1;-5;1;-5;10;0;1;-5;3;-4;1;-5;Blindsight 30 Ft. (Blind Beyond This Radius), passive Perception 6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/shrieker.jpg;shrieker.jpg
255;Silver Dragon Wyrmling;Medium;Dragon;lawful good;17;45;19;4;10;0;17;3;12;1;11;0;15;2;Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14;Draconic;2;0;2;5;0;2;4;30;0;60;0;0;0;0;4;2;0;0;0;0;0;0;0;0;;
256;Skeleton;Medium;Undead;lawful evil;13;13;10;0;14;2;15;2;6;-2;8;-1;5;-3;Darkvision 60 Ft., passive Perception 9;Understands All Languages It Spoke In Life But Can't Speak;1/4;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/skeleton.jpg;skeleton.jpg
257;Solar;Large;Celestial;lawful good;21;243;26;8;22;6;26;8;25;7;25;7;30;1;Truesight 120 Ft., passive Perception 24;All, Telepathy 120 Ft.;21;0;0;0;14;14;17;50;0;150;0;0;3;0;14;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/solar.jpg;solar.jpg
258;Specter;Medium;Undead;chaotic evil;12;22;1;-5;14;2;11;0;10;0;10;0;11;0;Darkvision 60 Ft., passive Perception 10;Understands All Languages It Knew In Life But Can't Speak;1;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/specter.jpg;specter.jpg
259;Spider;Tiny;Beast;unaligned;12;1;2;-4;14;2;8;-1;1;-5;10;0;2;-4;Darkvision 30 Ft., passive Perception 12;;0;0;0;0;0;0;0;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/spider.jpg;spider.jpg
260;Spirit Naga;Large;Monstrosity;chaotic evil;15;75;18;4;17;3;14;2;16;3;15;2;16;3;Darkvision 60 Ft., passive Perception 12;Abyssal, Common;8;0;6;5;0;5;6;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/spirit-naga.jpg;spirit-naga.jpg
261;Sprite;Tiny;Fey;neutral good;15;2;3;-4;18;4;10;0;14;2;13;1;11;0;passive Perception 13;Common, Elvish, Sylvan;1/4;0;0;0;0;0;0;10;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/sprite.jpg;sprite.jpg
262;Spy;Medium;Humanoid (any race);any alignment;12;27;10;0;15;2;10;0;12;1;14;2;16;3;passive Perception 16;Any Two Languages;1;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
263;Steam Mephit;Small;Elemental;neutral evil;10;21;5;-3;11;0;10;0;11;0;10;0;12;1;Darkvision 60 Ft., passive Perception 10;Aquan, Ignan;1/4;0;0;0;0;0;0;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/steam-mephit.jpg;steam-mephit.jpg
264;Stirge;Tiny;Beast;unaligned;14;2;4;-3;16;3;11;0;2;-4;8;-1;6;-2;;;1/8;0;0;0;0;0;0;10;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/stirge.jpg;stirge.jpg
265;Stone Giant;Huge;Giant;neutral;17;126;23;6;15;2;20;5;10;0;12;1;9;-1;Darkvision 60 Ft., passive Perception 14;Giant;7;0;5;8;0;4;0;40;0;0;0;0;0;0;4;0;0;0;0;0;0;0;12;0;https://www.aidedd.org/dnd/images/stone-giant.jpg;stone-giant.jpg
266;Stone Golem;Large;Construct;unaligned;17;178;22;6;9;-1;20;5;3;-4;11;0;1;-5;Darkvision 120 Ft., passive Perception 10;Understands The Languages Of Its Creator But Can't Speak;10;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/stone-golem.jpg;stone-golem.jpg
267;Storm Giant;Huge;Giant;chaotic good;16;230;29;9;14;2;20;5;16;3;18;4;18;4;passive Perception 19;Common, Giant;13;14;0;10;0;9;9;50;50;0;0;0;0;8;9;0;0;0;0;8;0;0;14;0;https://www.aidedd.org/dnd/images/storm-giant.jpg;storm-giant.jpg
268;Succubus;Medium;Fiend (shapechanger);neutral evil;15;66;8;-1;17;3;13;1;15;2;12;1;20;5;Darkvision 60 ft., passive Perception 15;Abyssal, Common, Infernal, Telepathy 60 ft.;4;0;0;0;0;0;0;30;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/succubus.jpg;succubus.jpg
269;Succubus (Incubus);Medium;Fiend (shapechanger);neutral evil;15;66;8;-1;17;3;13;1;15;2;12;1;20;5;Darkvision 60 Ft., passive Perception 15;Abyssal, Common, Infernal, Telepathy 60 Ft.;4;0;0;0;0;0;0;30;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
270;Swarm Of Bats;Medium;Swarm of tiny beasts;unaligned;12;22;5;-3;15;2;10;0;2;-4;12;1;4;-3;Blindsight 60 Ft., passive Perception 11;;1/4;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/swarm-bats.jpg;swarm-bats.jpg
271;Swarm Of Beetles;Medium;Swarm of tiny beasts;unaligned;12;22;3;-4;13;1;10;0;1;-5;7;-2;1;-5;Blindsight 10 Ft., passive Perception 8;;1/2;0;0;0;0;0;0;20;0;0;20;5;0;0;0;0;0;0;0;0;0;0;0;0;;
